OrderID,Product Code,ProductName,QuantityPerUnit,OrderDate,ShippedDate,RequiredDate,Cutomer Name,Customer Country,Customer City,Shipper Name,EmployeeID,FirstName,LastName,Title,TitleOfCourtesy,Sales Quantity,Sales Price
10256,77,Original Frankfurter grüne Soße,12 boxes,15/07/2018,17/07/2018,12/08/2018,Wellington Importadora,Brazil,Resende,United Package,3,Janet,Leverling,Sales Representative,Ms.,12,10.4
10257,27,Schoggi Schokolade,100 - 100 g pieces,16/07/2018,22/07/2018,13/08/2018,HILARION-Abastos,Venezuela,San Cristóbal,Federal Shipping,4,Margaret,Peacock,Sales Representative,Mrs.,25,35.1
10257,39,Chartreuse verte,750 cc per bottle,16/07/2018,22/07/2018,13/08/2018,HILARION-Abastos,Venezuela,San Cristóbal,Federal Shipping,4,Margaret,Peacock,Sales Representative,Mrs.,6,14.4
10257,77,Original Frankfurter grüne Soße,12 boxes,16/07/2018,22/07/2018,13/08/2018,HILARION-Abastos,Venezuela,San Cristóbal,Federal Shipping,4,Margaret,Peacock,Sales Representative,Mrs.,15,10.4
10258,2,Chang,24 - 12 oz bottles,17/07/2018,23/07/2018,14/08/2018,Ernst Handel,Austria,Graz,Speedy Express,1,Nancy,Davolio,Sales Representative,Ms.,50,15.2
10258,5,Chef Anton's Gumbo Mix,36 boxes,17/07/2018,23/07/2018,14/08/2018,Ernst Handel,Austria,Graz,Speedy Express,1,Nancy,Davolio,Sales Representative,Ms.,65,17
10258,32,Mascarpone Fabioli,24 - 200 g pkgs.,17/07/2018,23/07/2018,14/08/2018,Ernst Handel,Austria,Graz,Speedy Express,1,Nancy,Davolio,Sales Representative,Ms.,6,25.6
10259,21,Sir Rodney's Scones,24 pkgs. x 4 pieces,18/07/2018,25/07/2018,15/08/2018,Centro comercial Moctezuma,Mexico,México D.F.,Federal Shipping,4,Margaret,Peacock,Sales Representative,Mrs.,10,8
10259,37,Gravad lax,12 - 500 g pkgs.,18/07/2018,25/07/2018,15/08/2018,Centro comercial Moctezuma,Mexico,México D.F.,Federal Shipping,4,Margaret,Peacock,Sales Representative,Mrs.,1,20.8
10260,41,Jack's New England Clam Chowder,12 - 12 oz cans,19/07/2018,29/07/2018,16/08/2018,Ottilies Käseladen,Germany,Köln,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,16,7.7
10260,57,Ravioli Angelo,24 - 250 g pkgs.,19/07/2018,29/07/2018,16/08/2018,Ottilies Käseladen,Germany,Köln,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,50,15.6
10260,62,Tarte au sucre,48 pies,19/07/2018,29/07/2018,16/08/2018,Ottilies Käseladen,Germany,Köln,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,15,39.4
10260,70,Outback Lager,24 - 355 ml bottles,19/07/2018,29/07/2018,16/08/2018,Ottilies Käseladen,Germany,Köln,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,21,12
10261,21,Sir Rodney's Scones,24 pkgs. x 4 pieces,19/07/2018,30/07/2018,16/08/2018,Que Delícia,Brazil,Rio de Janeiro,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,20,8
10261,35,Steeleye Stout,24 - 12 oz bottles,19/07/2018,30/07/2018,16/08/2018,Que Delícia,Brazil,Rio de Janeiro,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,20,14.4
10262,5,Chef Anton's Gumbo Mix,36 boxes,22/07/2018,25/07/2018,19/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,12,17
10262,7,Uncle Bob's Organic Dried Pears,12 - 1 lb pkgs.,22/07/2018,25/07/2018,19/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,15,24
10262,56,Gnocchi di nonna Alice,24 - 250 g pkgs.,22/07/2018,25/07/2018,19/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,2,30.4
10263,16,Pavlova,32 - 500 g boxes,23/07/2018,31/07/2018,20/08/2018,Ernst Handel,Austria,Graz,Federal Shipping,9,Anne,Dodsworth,Sales Representative,Ms.,60,13.9
10263,24,Guaraná Fantástica,12 - 355 ml cans,23/07/2018,31/07/2018,20/08/2018,Ernst Handel,Austria,Graz,Federal Shipping,9,Anne,Dodsworth,Sales Representative,Ms.,28,3.6
10263,30,Nord-Ost Matjeshering,10 - 200 g glasses,23/07/2018,31/07/2018,20/08/2018,Ernst Handel,Austria,Graz,Federal Shipping,9,Anne,Dodsworth,Sales Representative,Ms.,60,20.7
10263,74,Longlife Tofu,5 kg pkg.,23/07/2018,31/07/2018,20/08/2018,Ernst Handel,Austria,Graz,Federal Shipping,9,Anne,Dodsworth,Sales Representative,Ms.,36,8
10264,2,Chang,24 - 12 oz bottles,24/07/2018,23/08/2018,21/08/2018,Folk och fä HB,Sweden,Bräcke,Federal Shipping,6,Michael,Suyama,Sales Representative,Mr.,35,15.2
10264,41,Jack's New England Clam Chowder,12 - 12 oz cans,24/07/2018,23/08/2018,21/08/2018,Folk och fä HB,Sweden,Bräcke,Federal Shipping,6,Michael,Suyama,Sales Representative,Mr.,25,7.7
10265,17,Alice Mutton,20 - 1 kg tins,25/07/2018,12/08/2018,22/08/2018,Blondesddsl père et fils,France,Strasbourg,Speedy Express,2,Andrew,Fuller,"Vice President, Sales",Dr.,30,31.2
10265,70,Outback Lager,24 - 355 ml bottles,25/07/2018,12/08/2018,22/08/2018,Blondesddsl père et fils,France,Strasbourg,Speedy Express,2,Andrew,Fuller,"Vice President, Sales",Dr.,20,12
10266,12,Queso Manchego La Pastora,10 - 500 g pkgs.,26/07/2018,31/07/2018,06/09/2018,Wartian Herkku,Finland,Oulu,Federal Shipping,3,Janet,Leverling,Sales Representative,Ms.,12,30.4
10267,40,Boston Crab Meat,24 - 4 oz tins,29/07/2018,06/08/2018,26/08/2018,Frankenversand,Germany,München,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,50,14.7
10267,59,Raclette Courdavault,5 kg pkg.,29/07/2018,06/08/2018,26/08/2018,Frankenversand,Germany,München,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,70,44
10267,76,Lakkalikööri,500 ml,29/07/2018,06/08/2018,26/08/2018,Frankenversand,Germany,München,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,15,14.4
10268,29,Thüringer Rostbratwurst,50 bags x 30 sausgs.,30/07/2018,02/08/2018,27/08/2018,GROSELLA-Restaurante,Venezuela,Caracas,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,10,99
10268,72,Mozzarella di Giovanni,24 - 200 g pkgs.,30/07/2018,02/08/2018,27/08/2018,GROSELLA-Restaurante,Venezuela,Caracas,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,4,27.8
10269,33,Geitost,500 g,31/07/2018,09/08/2018,14/08/2018,White Clover Markets,USA,Seattle,Speedy Express,5,Steven,Buchanan,Sales Manager,Mr.,60,2
10269,72,Mozzarella di Giovanni,24 - 200 g pkgs.,31/07/2018,09/08/2018,14/08/2018,White Clover Markets,USA,Seattle,Speedy Express,5,Steven,Buchanan,Sales Manager,Mr.,20,27.8
10270,36,Inlagd Sill,24 - 250 g  jars,01/08/2018,02/08/2018,29/08/2018,Wartian Herkku,Finland,Oulu,Speedy Express,1,Nancy,Davolio,Sales Representative,Ms.,30,15.2
10270,43,Ipoh Coffee,16 - 500 g tins,01/08/2018,02/08/2018,29/08/2018,Wartian Herkku,Finland,Oulu,Speedy Express,1,Nancy,Davolio,Sales Representative,Ms.,25,36.8
10271,33,Geitost,500 g,01/08/2018,30/08/2018,29/08/2018,Split Rail Beer & Ale,USA,Lander,United Package,6,Michael,Suyama,Sales Representative,Mr.,24,2
10272,20,Sir Rodney's Marmalade,30 gift boxes,02/08/2018,06/08/2018,30/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,United Package,6,Michael,Suyama,Sales Representative,Mr.,6,64.8
10272,31,Gorgonzola Telino,12 - 100 g pkgs,02/08/2018,06/08/2018,30/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,United Package,6,Michael,Suyama,Sales Representative,Mr.,40,10
10272,72,Mozzarella di Giovanni,24 - 200 g pkgs.,02/08/2018,06/08/2018,30/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,United Package,6,Michael,Suyama,Sales Representative,Mr.,24,27.8
10273,10,Ikura,12 - 200 ml jars,05/08/2018,12/08/2018,02/09/2018,QUICK-Stop,Germany,Cunewalde,Federal Shipping,3,Janet,Leverling,Sales Representative,Ms.,24,24.8
10273,31,Gorgonzola Telino,12 - 100 g pkgs,05/08/2018,12/08/2018,02/09/2018,QUICK-Stop,Germany,Cunewalde,Federal Shipping,3,Janet,Leverling,Sales Representative,Ms.,15,10
10273,33,Geitost,500 g,05/08/2018,12/08/2018,02/09/2018,QUICK-Stop,Germany,Cunewalde,Federal Shipping,3,Janet,Leverling,Sales Representative,Ms.,20,2
10273,40,Boston Crab Meat,24 - 4 oz tins,05/08/2018,12/08/2018,02/09/2018,QUICK-Stop,Germany,Cunewalde,Federal Shipping,3,Janet,Leverling,Sales Representative,Ms.,60,14.7
10273,76,Lakkalikööri,500 ml,05/08/2018,12/08/2018,02/09/2018,QUICK-Stop,Germany,Cunewalde,Federal Shipping,3,Janet,Leverling,Sales Representative,Ms.,33,14.4
10274,71,Flotemysost,10 - 500 g pkgs.,06/08/2018,16/08/2018,03/09/2018,Vins et alcools Chevalier,France,Reims,Speedy Express,6,Michael,Suyama,Sales Representative,Mr.,20,17.2
10274,72,Mozzarella di Giovanni,24 - 200 g pkgs.,06/08/2018,16/08/2018,03/09/2018,Vins et alcools Chevalier,France,Reims,Speedy Express,6,Michael,Suyama,Sales Representative,Mr.,7,27.8
10275,24,Guaraná Fantástica,12 - 355 ml cans,07/08/2018,09/08/2018,04/09/2018,Magazzini Alimentari Riuniti,Italy,Bergamo,Speedy Express,1,Nancy,Davolio,Sales Representative,Ms.,12,3.6
10275,59,Raclette Courdavault,5 kg pkg.,07/08/2018,09/08/2018,04/09/2018,Magazzini Alimentari Riuniti,Italy,Bergamo,Speedy Express,1,Nancy,Davolio,Sales Representative,Ms.,6,44
10276,10,Ikura,12 - 200 ml jars,08/08/2018,14/08/2018,22/08/2018,Tortuga Restaurante,Mexico,México D.F.,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,15,24.8
10276,13,Konbu,2 kg box,08/08/2018,14/08/2018,22/08/2018,Tortuga Restaurante,Mexico,México D.F.,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,10,4.8
10277,28,Rössle Sauerkraut,25 - 825 g cans,09/08/2018,13/08/2018,06/09/2018,Morgenstern Gesundkost,Germany,Leipzig,Federal Shipping,2,Andrew,Fuller,"Vice President, Sales",Dr.,20,36.4
10277,62,Tarte au sucre,48 pies,09/08/2018,13/08/2018,06/09/2018,Morgenstern Gesundkost,Germany,Leipzig,Federal Shipping,2,Andrew,Fuller,"Vice President, Sales",Dr.,12,39.4
10278,44,Gula Malacca,20 - 2 kg bags,12/08/2018,16/08/2018,09/09/2018,Berglunds snabbköp,Sweden,Luleå,United Package,8,Laura,Callahan,Inside Sales Coordinator,Ms.,16,15.5
10278,59,Raclette Courdavault,5 kg pkg.,12/08/2018,16/08/2018,09/09/2018,Berglunds snabbköp,Sweden,Luleå,United Package,8,Laura,Callahan,Inside Sales Coordinator,Ms.,15,44
10278,63,Vegie-spread,15 - 625 g jars,12/08/2018,16/08/2018,09/09/2018,Berglunds snabbköp,Sweden,Luleå,United Package,8,Laura,Callahan,Inside Sales Coordinator,Ms.,8,35.1
10278,73,Röd Kaviar,24 - 150 g jars,12/08/2018,16/08/2018,09/09/2018,Berglunds snabbköp,Sweden,Luleå,United Package,8,Laura,Callahan,Inside Sales Coordinator,Ms.,25,12
10279,17,Alice Mutton,20 - 1 kg tins,13/08/2018,16/08/2018,10/09/2018,Lehmanns Marktstand,Germany,Frankfurt a.M.,United Package,8,Laura,Callahan,Inside Sales Coordinator,Ms.,15,31.2
10280,24,Guaraná Fantástica,12 - 355 ml cans,14/08/2018,12/09/2018,11/09/2018,Berglunds snabbköp,Sweden,Luleå,Speedy Express,2,Andrew,Fuller,"Vice President, Sales",Dr.,12,3.6
10280,55,Pâté chinois,24 boxes x 2 pies,14/08/2018,12/09/2018,11/09/2018,Berglunds snabbköp,Sweden,Luleå,Speedy Express,2,Andrew,Fuller,"Vice President, Sales",Dr.,20,19.2
10280,75,Rhönbräu Klosterbier,24 - 0.5 l bottles,14/08/2018,12/09/2018,11/09/2018,Berglunds snabbköp,Sweden,Luleå,Speedy Express,2,Andrew,Fuller,"Vice President, Sales",Dr.,30,6.2
10281,19,Teatime Chocolate Biscuits,10 boxes x 12 pieces,14/08/2018,21/08/2018,28/08/2018,Romero y tomillo,Spain,Madrid,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,1,7.3
10281,24,Guaraná Fantástica,12 - 355 ml cans,14/08/2018,21/08/2018,28/08/2018,Romero y tomillo,Spain,Madrid,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,6,3.6
10281,35,Steeleye Stout,24 - 12 oz bottles,14/08/2018,21/08/2018,28/08/2018,Romero y tomillo,Spain,Madrid,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,4,14.4
10282,30,Nord-Ost Matjeshering,10 - 200 g glasses,15/08/2018,21/08/2018,12/09/2018,Romero y tomillo,Spain,Madrid,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,6,20.7
10282,57,Ravioli Angelo,24 - 250 g pkgs.,15/08/2018,21/08/2018,12/09/2018,Romero y tomillo,Spain,Madrid,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,2,15.6
10283,15,Genen Shouyu,24 - 250 ml bottles,16/08/2018,23/08/2018,13/09/2018,LILA-Supermercado,Venezuela,Barquisimeto,Federal Shipping,3,Janet,Leverling,Sales Representative,Ms.,20,12.4
10283,19,Teatime Chocolate Biscuits,10 boxes x 12 pieces,16/08/2018,23/08/2018,13/09/2018,LILA-Supermercado,Venezuela,Barquisimeto,Federal Shipping,3,Janet,Leverling,Sales Representative,Ms.,18,7.3
10283,60,Camembert Pierrot,15 - 300 g rounds,16/08/2018,23/08/2018,13/09/2018,LILA-Supermercado,Venezuela,Barquisimeto,Federal Shipping,3,Janet,Leverling,Sales Representative,Ms.,35,27.2
10283,72,Mozzarella di Giovanni,24 - 200 g pkgs.,16/08/2018,23/08/2018,13/09/2018,LILA-Supermercado,Venezuela,Barquisimeto,Federal Shipping,3,Janet,Leverling,Sales Representative,Ms.,3,27.8
10284,27,Schoggi Schokolade,100 - 100 g pieces,19/08/2018,27/08/2018,16/09/2018,Lehmanns Marktstand,Germany,Frankfurt a.M.,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,15,35.1
10284,44,Gula Malacca,20 - 2 kg bags,19/08/2018,27/08/2018,16/09/2018,Lehmanns Marktstand,Germany,Frankfurt a.M.,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,21,15.5
10284,60,Camembert Pierrot,15 - 300 g rounds,19/08/2018,27/08/2018,16/09/2018,Lehmanns Marktstand,Germany,Frankfurt a.M.,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,20,27.2
10284,67,Laughing Lumberjack Lager,24 - 12 oz bottles,19/08/2018,27/08/2018,16/09/2018,Lehmanns Marktstand,Germany,Frankfurt a.M.,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,5,11.2
10285,1,Chai,10 boxes x 20 bags,20/08/2018,26/08/2018,17/09/2018,QUICK-Stop,Germany,Cunewalde,United Package,1,Nancy,Davolio,Sales Representative,Ms.,45,14.4
10285,40,Boston Crab Meat,24 - 4 oz tins,20/08/2018,26/08/2018,17/09/2018,QUICK-Stop,Germany,Cunewalde,United Package,1,Nancy,Davolio,Sales Representative,Ms.,40,14.7
10285,53,Perth Pasties,48 pieces,20/08/2018,26/08/2018,17/09/2018,QUICK-Stop,Germany,Cunewalde,United Package,1,Nancy,Davolio,Sales Representative,Ms.,36,26.2
10286,35,Steeleye Stout,24 - 12 oz bottles,21/08/2018,30/08/2018,18/09/2018,QUICK-Stop,Germany,Cunewalde,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,100,14.4
10286,62,Tarte au sucre,48 pies,21/08/2018,30/08/2018,18/09/2018,QUICK-Stop,Germany,Cunewalde,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,40,39.4
10287,16,Pavlova,32 - 500 g boxes,22/08/2018,28/08/2018,19/09/2018,Ricardo Adocicados,Brazil,Rio de Janeiro,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,40,13.9
10287,34,Sasquatch Ale,24 - 12 oz bottles,22/08/2018,28/08/2018,19/09/2018,Ricardo Adocicados,Brazil,Rio de Janeiro,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,20,11.2
10287,46,Spegesild,4 - 450 g glasses,22/08/2018,28/08/2018,19/09/2018,Ricardo Adocicados,Brazil,Rio de Janeiro,Federal Shipping,8,Laura,Callahan,Inside Sales Coordinator,Ms.,15,9.6
10288,54,Tourtière,16 pies,23/08/2018,03/09/2018,20/09/2018,Reggiani Caseifici,Italy,Reggio Emilia,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,10,5.9
10288,68,Scottish Longbreads,10 boxes x 8 pieces,23/08/2018,03/09/2018,20/09/2018,Reggiani Caseifici,Italy,Reggio Emilia,Speedy Express,4,Margaret,Peacock,Sales Representative,Mrs.,3,10
10289,3,Aniseed Syrup,12 - 550 ml bottles,26/08/2018,28/08/2018,23/09/2018,B's Beverages,UK,London,Federal Shipping,7,Robert,King,Sales Representative,Mr.,30,8
10289,64,Wimmers gute Semmelknödel,20 bags x 4 pieces,26/08/2018,28/08/2018,23/09/2018,B's Beverages,UK,London,Federal Shipping,7,Robert,King,Sales Representative,Mr.,9,26.6
10290,5,Chef Anton's Gumbo Mix,36 boxes,27/08/2018,03/09/2018,24/09/2018,Comércio Mineiro,Brazil,Sao Paulo,Speedy Express,8,Laura,Callahan,Inside Sales Coordinator,Ms.,20,17
10290,29,Thüringer Rostbratwurst,50 bags x 30 sausgs.,27/08/2018,03/09/2018,24/09/2018,Comércio Mineiro,Brazil,Sao Paulo,Speedy Express,8,Laura,Callahan,Inside Sales Coordinator,Ms.,15,99
10290,49,Maxilaku,24 - 50 g pkgs.,27/08/2018,03/09/2018,24/09/2018,Comércio Mineiro,Brazil,Sao Paulo,Speedy Express,8,Laura,Callahan,Inside Sales Coordinator,Ms.,15,16
10290,77,Original Frankfurter grüne Soße,12 boxes,27/08/2018,03/09/2018,24/09/2018,Comércio Mineiro,Brazil,Sao Paulo,Speedy Express,8,Laura,Callahan,Inside Sales Coordinator,Ms.,10,10.4
10291,13,Konbu,2 kg box,27/08/2018,04/09/2018,24/09/2018,Que Delícia,Brazil,Rio de Janeiro,United Package,6,Michael,Suyama,Sales Representative,Mr.,20,4.8
10291,44,Gula Malacca,20 - 2 kg bags,27/08/2018,04/09/2018,24/09/2018,Que Delícia,Brazil,Rio de Janeiro,United Package,6,Michael,Suyama,Sales Representative,Mr.,24,15.5
10291,51,Manjimup Dried Apples,50 - 300 g pkgs.,27/08/2018,04/09/2018,24/09/2018,Que Delícia,Brazil,Rio de Janeiro,United Package,6,Michael,Suyama,Sales Representative,Mr.,2,42.4
10292,20,Sir Rodney's Marmalade,30 gift boxes,28/08/2018,02/09/2018,25/09/2018,Tradição Hipermercados,Brazil,Sao Paulo,United Package,1,Nancy,Davolio,Sales Representative,Ms.,20,64.8
10293,18,Carnarvon Tigers,16 kg pkg.,29/08/2018,11/09/2018,26/09/2018,Tortuga Restaurante,Mexico,México D.F.,Federal Shipping,1,Nancy,Davolio,Sales Representative,Ms.,12,50
10293,24,Guaraná Fantástica,12 - 355 ml cans,29/08/2018,11/09/2018,26/09/2018,Tortuga Restaurante,Mexico,México D.F.,Federal Shipping,1,Nancy,Davolio,Sales Representative,Ms.,10,3.6
10293,63,Vegie-spread,15 - 625 g jars,29/08/2018,11/09/2018,26/09/2018,Tortuga Restaurante,Mexico,México D.F.,Federal Shipping,1,Nancy,Davolio,Sales Representative,Ms.,5,35.1
10293,75,Rhönbräu Klosterbier,24 - 0.5 l bottles,29/08/2018,11/09/2018,26/09/2018,Tortuga Restaurante,Mexico,México D.F.,Federal Shipping,1,Nancy,Davolio,Sales Representative,Ms.,6,6.2
10294,1,Chai,10 boxes x 20 bags,30/08/2018,05/09/2018,27/09/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,18,14.4
10294,17,Alice Mutton,20 - 1 kg tins,30/08/2018,05/09/2018,27/09/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,15,31.2
10294,43,Ipoh Coffee,16 - 500 g tins,30/08/2018,05/09/2018,27/09/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,15,36.8
10294,60,Camembert Pierrot,15 - 300 g rounds,30/08/2018,05/09/2018,27/09/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,21,27.2
10294,75,Rhönbräu Klosterbier,24 - 0.5 l bottles,30/08/2018,05/09/2018,27/09/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,6,6.2
10295,56,Gnocchi di nonna Alice,24 - 250 g pkgs.,02/09/2018,10/09/2018,30/09/2018,Vins et alcools Chevalier,France,Reims,United Package,2,Andrew,Fuller,"Vice President, Sales",Dr.,4,30.4
10296,11,Queso Cabrales,1 kg pkg.,03/09/2018,11/09/2018,01/10/2018,LILA-Supermercado,Venezuela,Barquisimeto,Speedy Express,6,Michael,Suyama,Sales Representative,Mr.,12,16.8
10296,16,Pavlova,32 - 500 g boxes,03/09/2018,11/09/2018,01/10/2018,LILA-Supermercado,Venezuela,Barquisimeto,Speedy Express,6,Michael,Suyama,Sales Representative,Mr.,30,13.9
